,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Console_Product,Filtered_Publisher,Global_Sales (zeros)
14422,Hisshou Pachinko*Pachi-Slot Kouryaku Series DS Vol. 4: Shinseiki Evangelion - Saigo no Mono,DS,2009,Misc,D3Publisher,0.0,0.0,0.03,0.0,0.03,Nintendo,D3Publisher,False
14423,Detective Opera: Milky Holmes 2,PSP,2012,Adventure,BushiRoad,0.0,0.0,0.03,0.0,0.03,Playstation,Other,False
14424,Nisekoi: Yomeiri!?,PSV,2014,Adventure,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,Playstation,Konami Digital Entertainment,False
14425,Blaze Union: Story to Reach the Future,PSP,2010,Role-Playing,Sting,0.0,0.0,0.03,0.0,0.03,Playstation,Other,False
14426,Barbie and Her Sisters Puppy Rescue,Wii,2015,Action,Bandai Namco Entertainment,0.0,0.03,0.0,0.0,0.03,Nintendo,Bandai Namco Entertainment,False
14427,Handball 16,PS3,2015,Sports,Bigben Interactive,0.0,0.02,0.0,0.0,0.03,Playstation,Other,False
14428,Commander: Conquest of the Americas,PC,2010,Strategy,Paradox Interactive,0.0,0.02,0.0,0.0,0.03,PC,Other,False
14429,LEGO Pirates of the Caribbean: The Video Game,PC,2011,Action,Disney Interactive Studios,0.03,0.0,0.0,0.0,0.03,PC,Disney Interactive Studios,False
14430,Race Driver 2006,PSP,2006,Racing,Codemasters,0.03,0.0,0.0,0.0,0.03,Playstation,Codemasters,False
14431,Higurashi no Naku Koro ni Kizuna: Dai-Yon-Kan - Kizuna,DS,2010,Adventure,Alchemist,0.0,0.0,0.03,0.0,0.03,Nintendo,Other,False
14432,Samurai Warriors: Sanada Maru,PS4,2016,Action,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,Playstation,Tecmo Koei,False
14433,Buffy the Vampire Slayer: Wrath of the Darkhul King,GBA,2003,Action,THQ Nordic,0.02,0.01,0.0,0.0,0.03,Nintendo,THQ Nordic,False
14434,Battlefield 1942: The WW II Anthology,PC,2004,Shooter,Electronic Arts,0.01,0.01,0.0,0.0,0.03,PC,Electronic Arts,False
14435,Genkai Tokki: Seven Pirates,PSV,2016,Role-Playing,Compile Heart,0.0,0.0,0.03,0.0,0.03,Playstation,Other,False
14436,Gekiatsu!! Pachi Game Tamashi Vol. 2: CR Evangelion - Shinjitsu no Tsubasa,PS3,2011,Misc,Unknown,0.0,0.0,0.03,0.0,0.03,Playstation,Unknown,False
14437,Parfait,PSV,2015,Adventure,TGL,0.0,0.0,0.03,0.0,0.03,Playstation,Other,False
14438,Mighty No. 9,WiiU,2016,Platform,Deep Silver,0.02,0.01,0.0,0.0,0.03,Nintendo,Deep Silver,False
14439,Roadsters,PS,2000,Racing,Titus,0.02,0.01,0.0,0.0,0.03,Playstation,Other,False
14440,Merv Griffin's Crosswords,DS,2008,Puzzle,ValuSoft,0.03,0.0,0.0,0.0,0.03,Nintendo,Other,False
14441,DeathSmiles II,X360,2010,Shooter,Cave,0.0,0.0,0.03,0.0,0.03,Xbox,Other,False
14442,The Great Mystery Hidden Object Package 5,PC,2015,Adventure,Rondomedia,0.0,0.03,0.0,0.0,0.03,PC,Other,False
14443,Kenka Bancho Otome,PSV,2016,Action,Screenlife,0.0,0.0,0.03,0.0,0.03,Playstation,Other,False
14444,Calcio Bit,GBA,2006,Sports,Nintendo,0.0,0.0,0.03,0.0,0.03,Nintendo,Nintendo,False
14445,Star Trek: The Game,PC,2013,Action,Bandai Namco Entertainment,0.0,0.02,0.0,0.0,0.03,PC,Bandai Namco Entertainment,False
14446,Whiteout,XB,2002,Racing,Konami Digital Entertainment,0.02,0.01,0.0,0.0,0.03,Xbox,Konami Digital Entertainment,False
14447,Galaxy Angel II: Zettairyouiki no Tobira,PS2,2006,Strategy,Broccoli,0.0,0.0,0.03,0.0,0.03,Playstation,Other,False
14448,Kung Fu Panda: Legendary Warriors,DS,2008,Action,Activision,0.02,0.0,0.0,0.0,0.03,Nintendo,Activision,False
14449,Hyakumanton no Bara Bara,PSP,2010,Strategy,Sony Interactive Entertainment,0.0,0.0,0.03,0.0,0.03,Playstation,Sony Interactive Entertainment,False
14450,Superdimension Neptune vs Sega Hard Girls,PSV,2016,Role-Playing,Idea Factory International,0.0,0.02,0.0,0.01,0.03,Playstation,Idea Factory International,False
14451,The Talos Principle,PS4,2015,Puzzle,Devolver Digital,0.0,0.02,0.0,0.0,0.03,Playstation,Other,False
14452,Hajime no Ippo: The Fighting,GBA,2002,Fighting,ESP,0.0,0.0,0.03,0.0,0.03,Nintendo,Other,False
14453,Sokukoku no Kusabi: Hiiro no Kakera 3 Portable,PSP,2010,Adventure,Idea Factory International,0.0,0.0,0.03,0.0,0.03,Playstation,Idea Factory International,False
14454,Spectral Souls: Resurrection of the Ethereal Empires,PSP,2005,Role-Playing,Idea Factory International,0.03,0.0,0.0,0.0,0.03,Playstation,Idea Factory International,False
14455,Syberia II,XB,2004,Adventure,Ubisoft,0.02,0.01,0.0,0.0,0.03,Xbox,Ubisoft,False
14456,Motor Trend presents Lotus Challenge,XB,2003,Racing,Xicat Interactive,0.02,0.01,0.0,0.0,0.03,Xbox,Other,False
14457,Braid,PC,2009,Platform,Number None,0.0,0.02,0.0,0.0,0.03,PC,Other,False
14458,Gudetama: Hanjuku de Tanomuwa,3DS,2015,Action,Rocket Company,0.0,0.0,0.03,0.0,0.03,Nintendo,Other,False
14459,LEGO Legends of Chima: Laval's Journey,DS,2013,Adventure,Unknown,0.0,0.03,0.0,0.0,0.03,Nintendo,Unknown,False
14460,Bleach DS 4th: Flame Bringer,DS,2009,Action,Sega,0.0,0.0,0.03,0.0,0.03,Nintendo,Sega,False
14461,Syberia,PC,2002,Action,Microids,0.0,0.02,0.0,0.0,0.03,PC,Other,False
14462,Pacific Liberator,Wii,2009,Action,Zoo Games,0.03,0.0,0.0,0.0,0.03,Nintendo,Other,False
14463,Tago Akira no Atama no Taisou Dai-2-Shuu: Ginga Oudan Nazotoki Adventure,DS,2009,Adventure,Level 5,0.0,0.0,0.03,0.0,0.03,Nintendo,Other,False
14464,The King of Fighters Portable '94~'98: Chapter of Orochi,PSP,2010,Fighting,SNK Playmore,0.0,0.0,0.03,0.0,0.03,Playstation,Other,False
14465,Puzzle Challenge: Crosswords and More!,Wii,2009,Puzzle,Crave Entertainment,0.03,0.0,0.0,0.0,0.03,Nintendo,Other,False
14466,Turn It Around,DS,2006,Action,505 Games,0.03,0.0,0.0,0.0,0.03,Nintendo,505 Games,False
14467,Nisenochigiri: Omoide no Saki e,PSP,2011,Adventure,Idea Factory International,0.0,0.0,0.03,0.0,0.03,Playstation,Idea Factory International,False
14468,Jack Keane,PC,2008,Adventure,Kalypso Media,0.0,0.02,0.0,0.0,0.03,PC,Other,False
14469,Girls Only,DS,2010,Simulation,Foreign Media Games,0.03,0.0,0.0,0.0,0.03,Nintendo,Other,False
14470,Monsters vs. Aliens,PC,2009,Action,Activision,0.01,0.01,0.0,0.0,0.03,PC,Activision,False
14471,In Cold Blood,PS,2000,Adventure,Sony Interactive Entertainment,0.02,0.01,0.0,0.0,0.03,Playstation,Sony Interactive Entertainment,False
14472,Fireblade,GC,2002,Action,Midway Games,0.02,0.01,0.0,0.0,0.03,Nintendo,Midway Games,False
14473,Kamigami no Asobi,PSP,2013,Adventure,Broccoli,0.0,0.0,0.03,0.0,0.03,Playstation,Other,False
